강수분석,,
[검색조건],,
자료구분 : 일,,
자료형태 : 기본,,
지역/지점 : 북부산,,
기간 : 20240101~20241231,,
,,
날짜,지점,강수량(mm)
2024-01-01,296,
2024-01-02,296,0.5
2024-01-03,296,
2024-01-04,296,
2024-01-05,296,
2024-01-06,296,
2024-01-07,296,
2024-01-08,296,
2024-01-09,296,4
2024-01-10,296,0.5
2024-01-11,296,
2024-01-12,296,
2024-01-13,296,
2024-01-14,296,
2024-01-15,296,
2024-01-16,296,
2024-01-17,296,0
2024-01-18,296,11.5
2024-01-19,296,0
2024-01-20,296,12
2024-01-21,296,0
2024-01-22,296,
2024-01-23,296,
2024-01-24,296,
2024-01-25,296,
2024-01-26,296,
2024-01-27,296,
2024-01-28,296,
2024-01-29,296,
2024-01-30,296,
2024-01-31,296,0.5
2024-02-01,296,0.5
2024-02-02,296,
2024-02-03,296,2.5
2024-02-04,296,2.5
2024-02-05,296,7
2024-02-06,296,
2024-02-07,296,
2024-02-08,296,
2024-02-09,296,
2024-02-10,296,
2024-02-11,296,
2024-02-12,296,
2024-02-13,296,
2024-02-14,296,2.5
2024-02-15,296,
2024-02-16,296,
2024-02-17,296,
2024-02-18,296,0
2024-02-19,296,58.5
2024-02-20,296,1.5
2024-02-21,296,2.5
2024-02-22,296,1
2024-02-23,296,
2024-02-24,296,0
2024-02-25,296,4
2024-02-26,296,
2024-02-27,296,
2024-02-28,296,
2024-02-29,296,8.5
2024-03-01,296,
2024-03-02,296,
2024-03-03,296,
2024-03-04,296,
2024-03-05,296,7
2024-03-06,296,
2024-03-07,296,0
2024-03-08,296,
2024-03-09,296,
2024-03-10,296,
2024-03-11,296,0.5
2024-03-12,296,1
2024-03-13,296,
2024-03-14,296,
2024-03-15,296,
2024-03-16,296,
2024-03-17,296,0
2024-03-18,296,
2024-03-19,296,
2024-03-20,296,
2024-03-21,296,
2024-03-22,296,5.5
2024-03-23,296,2
2024-03-24,296,2.5
2024-03-25,296,7.5
2024-03-26,296,11
2024-03-27,296,
2024-03-28,296,53
2024-03-29,296,
2024-03-30,296,
2024-03-31,296,
2024-04-01,296,
2024-04-02,296,4.5
2024-04-03,296,54.5
2024-04-04,296,
2024-04-05,296,
2024-04-06,296,
2024-04-07,296,
2024-04-08,296,
2024-04-09,296,
2024-04-10,296,
2024-04-11,296,
2024-04-12,296,
2024-04-13,296,
2024-04-14,296,
2024-04-15,296,23
2024-04-16,296,
2024-04-17,296,
2024-04-18,296,
2024-04-19,296,
2024-04-20,296,2
2024-04-21,296,
2024-04-22,296,
2024-04-23,296,8.5
2024-04-24,296,
2024-04-25,296,
2024-04-26,296,
2024-04-27,296,
2024-04-28,296,
2024-04-29,296,37
2024-04-30,296,
2024-05-01,296,
2024-05-02,296,
2024-05-03,296,
2024-05-04,296,
2024-05-05,296,46.5
2024-05-06,296,40.5
2024-05-07,296,8
2024-05-08,296,0
2024-05-09,296,
2024-05-10,296,
2024-05-11,296,3.5
2024-05-12,296,10
2024-05-13,296,
2024-05-14,296,
2024-05-15,296,0.5
2024-05-16,296,0.5
2024-05-17,296,
2024-05-18,296,
2024-05-19,296,
2024-05-20,296,
2024-05-21,296,
2024-05-22,296,
2024-05-23,296,
2024-05-24,296,
2024-05-25,296,
2024-05-26,296,10
2024-05-27,296,1
2024-05-28,296,
2024-05-29,296,
2024-05-30,296,0
2024-05-31,296,0.5
2024-06-01,296,
2024-06-02,296,
2024-06-03,296,
2024-06-04,296,
2024-06-05,296,
2024-06-06,296,
2024-06-07,296,
2024-06-08,296,14.5
2024-06-09,296,0.5
2024-06-10,296,
2024-06-11,296,
2024-06-12,296,
2024-06-13,296,
2024-06-14,296,
2024-06-15,296,23.5
2024-06-16,296,
2024-06-17,296,
2024-06-18,296,
2024-06-19,296,
2024-06-20,296,0
2024-06-21,296,
2024-06-22,296,31
2024-06-23,296,
2024-06-24,296,
2024-06-25,296,
2024-06-26,296,
2024-06-27,296,0.5
2024-06-28,296,0
2024-06-29,296,55.5
2024-06-30,296,51.5
2024-07-01,296,
2024-07-02,296,47
2024-07-03,296,0.5
2024-07-04,296,
2024-07-05,296,1.5
2024-07-06,296,
2024-07-07,296,
2024-07-08,296,0
2024-07-09,296,3
2024-07-10,296,29.5
2024-07-11,296,0
2024-07-12,296,
2024-07-13,296,0
2024-07-14,296,40
2024-07-15,296,0.5
2024-07-16,296,28.5
2024-07-17,296,
2024-07-18,296,1
2024-07-19,296,14
2024-07-20,296,0.5
2024-07-21,296,1
2024-07-22,296,
2024-07-23,296,1.5
2024-07-24,296,47
2024-07-25,296,1.5
2024-07-26,296,0
2024-07-27,296,0
2024-07-28,296,0
2024-07-29,296,
2024-07-30,296,
2024-07-31,296,
2024-08-01,296,
2024-08-02,296,
2024-08-03,296,2
2024-08-04,296,0
2024-08-05,296,
2024-08-06,296,4.5
2024-08-07,296,0
2024-08-08,296,8.5
2024-08-09,296,
2024-08-10,296,
2024-08-11,296,
2024-08-12,296,
2024-08-13,296,
2024-08-14,296,
2024-08-15,296,
2024-08-16,296,
2024-08-17,296,
2024-08-18,296,
2024-08-19,296,0
2024-08-20,296,38
2024-08-21,296,10.5
2024-08-22,296,0
2024-08-23,296,0
2024-08-24,296,
2024-08-25,296,
2024-08-26,296,5
2024-08-27,296,0
2024-08-28,296,2
2024-08-29,296,3
2024-08-30,296,0
2024-08-31,296,
2024-09-01,296,
2024-09-02,296,0
2024-09-03,296,1
2024-09-04,296,
2024-09-05,296,
2024-09-06,296,0
2024-09-07,296,
2024-09-08,296,0
2024-09-09,296,
2024-09-10,296,
2024-09-11,296,5
2024-09-12,296,1.5
2024-09-13,296,
2024-09-14,296,
2024-09-15,296,0
2024-09-16,296,0
2024-09-17,296,
2024-09-18,296,
2024-09-19,296,
2024-09-20,296,33
2024-09-21,296,369
2024-09-22,296,1
2024-09-23,296,
2024-09-24,296,
2024-09-25,296,
2024-09-26,296,
2024-09-27,296,
2024-09-28,296,8
2024-09-29,296,
2024-09-30,296,
2024-10-01,296,0
2024-10-02,296,0
2024-10-03,296,7.5
2024-10-04,296,0.5
2024-10-05,296,
2024-10-06,296,4
2024-10-07,296,4.5
2024-10-08,296,0
2024-10-09,296,
2024-10-10,296,0
2024-10-11,296,1
2024-10-12,296,
2024-10-13,296,
2024-10-14,296,29.5
2024-10-15,296,8.5
2024-10-16,296,
2024-10-17,296,
2024-10-18,296,48.5
2024-10-19,296,1.5
2024-10-20,296,
2024-10-21,296,0.5
2024-10-22,296,75.5
2024-10-23,296,
2024-10-24,296,
2024-10-25,296,
2024-10-26,296,
2024-10-27,296,3.5
2024-10-28,296,0
2024-10-29,296,
2024-10-30,296,
2024-10-31,296,
2024-11-01,296,38.5
2024-11-02,296,20.5
2024-11-03,296,
2024-11-04,296,
2024-11-05,296,
2024-11-06,296,
2024-11-07,296,
2024-11-08,296,
2024-11-09,296,
2024-11-10,296,
2024-11-11,296,
2024-11-12,296,
2024-11-13,296,
2024-11-14,296,
2024-11-15,296,0
2024-11-16,296,
2024-11-17,296,
2024-11-18,296,
2024-11-19,296,
2024-11-20,296,
2024-11-21,296,
2024-11-22,296,
2024-11-23,296,
2024-11-24,296,
2024-11-25,296,0
2024-11-26,296,23
2024-11-27,296,0
2024-11-28,296,
2024-11-29,296,0
2024-11-30,296,
2024-12-01,296,0
2024-12-02,296,
2024-12-03,296,
2024-12-04,296,
2024-12-05,296,
2024-12-06,296,
2024-12-07,296,
2024-12-08,296,
2024-12-09,296,
2024-12-10,296,
2024-12-11,296,
2024-12-12,296,
2024-12-13,296,
2024-12-14,296,
2024-12-15,296,
2024-12-16,296,
2024-12-17,296,
2024-12-18,296,
2024-12-19,296,
2024-12-20,296,
2024-12-21,296,0
2024-12-22,296,
2024-12-23,296,
2024-12-24,296,
2024-12-25,296,
2024-12-26,296,
2024-12-27,296,
2024-12-28,296,0
2024-12-29,296,
2024-12-30,296,
2024-12-31,296,
